epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3245,0.60516,1.34824,1.08683,0.95438,0.97412,0.98564,0.7635,0.61618,1.79802,1.16177,0.000659259,0.000659259,0.000659259
2,30.178,0.6775,0.78791,1.10441,0.54883,0.3876,0.48323,0.27632,1.2123,2.14214,1.62792,0.0013128,0.0013128,0.0013128
3,43.9023,0.69187,0.66073,1.10278,0.87999,0.93137,0.96508,0.78629,0.60236,0.91764,1.12835,0.00195314,0.00195314,0.00195314
4,57.5106,0.6464,0.53825,1.07169,0.94513,0.96814,0.98824,0.82823,0.59337,0.71181,1.16278,0.0019406,0.0019406,0.0019406
5,70.9643,0.6575,0.50911,1.08426,0.83217,0.83853,0.90035,0.58139,1.12351,0.95417,1.80416,0.0019208,0.0019208,0.0019208
6,84.3486,0.64263,0.4614,1.07922,0.97809,0.97794,0.99237,0.8257,0.65158,0.49397,1.14422,0.001901,0.001901,0.001901
7,98.2191,0.63366,0.44004,1.06626,0.98766,0.98113,0.99367,0.81791,0.62895,0.45436,1.19917,0.0018812,0.0018812,0.0018812
8,111.676,0.60591,0.40958,1.05739,0.99211,1,0.99345,0.87719,0.50325,0.3511,1.02786,0.0018614,0.0018614,0.0018614
9,125.036,0.57389,0.37315,1.04232,0.9919,1,0.99384,0.89271,0.45066,0.31168,1.00457,0.0018416,0.0018416,0.0018416
10,137.997,0.57278,0.37356,1.03858,0.98122,0.97549,0.99361,0.86439,0.49754,0.37083,1.03643,0.0018218,0.0018218,0.0018218
11,151.39,0.58212,0.36855,1.03691,0.99553,0.99755,0.99478,0.90953,0.4278,0.27655,0.96497,0.001802,0.001802,0.001802
12,164.797,0.56516,0.36066,1.0375,0.9869,0.99755,0.9948,0.89036,0.47903,0.3024,1.00619,0.0017822,0.0017822,0.0017822
13,177.913,0.55325,0.35031,1.03081,0.99027,0.9973,0.99322,0.89534,0.44592,0.28292,0.98415,0.0017624,0.0017624,0.0017624
