epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.98415,2.10731,4.1594,1.92018,0.45727,0.54086,0.39999,0.24515,1.28979,1.6062,1.14025,0.00048,0.00048,0.00048
2,10.6139,1.43549,1.67122,1.29425,0.48382,0.63095,0.4155,0.27521,0.9925,2.07453,0.98989,0.000971915,0.000971915,0.000971915
3,15.469,1.24578,1.37362,1.16531,0.5461,0.56646,0.54473,0.39265,1.00678,1.22314,0.98169,0.00145558,0.00145558,0.00145558
4,19.8894,1.20592,1.31752,1.14223,0.53103,0.57977,0.55058,0.40757,1.04456,1.32982,0.97176,0.001931,0.001931,0.001931
5,24.4152,1.15584,1.28155,1.11574,0.51024,0.60311,0.51686,0.36567,1.02587,1.35777,0.98556,0.001934,0.001934,0.001934
6,29.2729,1.10588,1.2967,1.08824,0.52314,0.64981,0.55917,0.41966,1.0156,1.23879,0.99228,0.0019175,0.0019175,0.0019175
7,33.845,1.11833,1.25918,1.0998,0.52102,0.62257,0.54367,0.39366,0.97392,1.25066,0.98321,0.001901,0.001901,0.001901
8,38.3074,1.06926,1.18327,1.06305,0.55571,0.62646,0.57169,0.41339,0.96318,1.21288,0.9701,0.0018845,0.0018845,0.0018845
9,42.6789,1.05163,1.18697,1.05915,0.56964,0.61479,0.58153,0.4203,0.94985,1.2027,0.97612,0.001868,0.001868,0.001868
10,47.1842,1.05478,1.2176,1.06304,0.61739,0.68093,0.61938,0.4473,0.96256,1.10065,0.95505,0.0018515,0.0018515,0.0018515
11,52.0871,1.02555,1.17377,1.05491,0.64538,0.58755,0.59085,0.44781,0.90879,1.18757,0.95265,0.001835,0.001835,0.001835
12,56.702,0.99383,1.12379,1.0257,0.55326,0.59922,0.54805,0.40753,0.85479,1.26073,0.94634,0.0018185,0.0018185,0.0018185
13,61.2266,0.95793,1.11172,1.02635,0.63108,0.5642,0.60209,0.45326,0.88099,1.11313,0.93936,0.001802,0.001802,0.001802
14,65.886,0.95963,1.07145,1.02408,0.56357,0.66325,0.61461,0.46833,0.84841,1.10178,0.92978,0.0017855,0.0017855,0.0017855
15,70.3047,0.977,1.13397,1.01974,0.53296,0.64202,0.56384,0.44164,0.83766,1.23195,0.92249,0.001769,0.001769,0.001769
16,75.1752,0.91102,1.03208,1.00163,0.60426,0.61868,0.62365,0.4757,0.92683,1.28716,0.94354,0.0017525,0.0017525,0.0017525
17,80.1858,0.96079,1.07306,1.01834,0.55146,0.63147,0.58691,0.43952,1.02049,1.38717,1.00453,0.001736,0.001736,0.001736
18,84.7658,0.9,1.06972,0.99641,0.53197,0.67225,0.57877,0.44247,0.90193,1.20493,0.94699,0.0017195,0.0017195,0.0017195
19,89.3903,0.89912,1.08055,0.99165,0.54684,0.64591,0.57056,0.43324,0.84212,1.18977,0.92036,0.001703,0.001703,0.001703
20,93.9727,0.90361,1.03264,0.99242,0.55178,0.61312,0.574,0.43541,0.85692,1.23223,0.91428,0.0016865,0.0016865,0.0016865
21,98.5214,0.91854,1.06772,0.98958,0.56411,0.66148,0.61631,0.4731,0.89942,1.23702,0.95375,0.00167,0.00167,0.00167
22,103.013,0.86987,1.02625,0.99882,0.63957,0.61479,0.63813,0.48876,0.86767,1.12732,0.95808,0.0016535,0.0016535,0.0016535
23,107.723,0.8617,0.97056,0.98214,0.56833,0.63524,0.58743,0.44266,0.8858,1.28593,0.94663,0.001637,0.001637,0.001637
24,112.383,0.8927,0.96327,0.99562,0.61655,0.66926,0.64576,0.50251,0.87106,1.15302,0.92394,0.0016205,0.0016205,0.0016205
25,116.968,0.86954,0.93471,0.97412,0.64241,0.64312,0.65473,0.52329,0.7965,1.01441,0.88665,0.001604,0.001604,0.001604
26,121.541,0.83716,0.9284,0.96827,0.58665,0.59642,0.59483,0.46882,0.85903,1.28432,0.91785,0.0015875,0.0015875,0.0015875
27,126.098,0.83704,1.01422,0.96901,0.63732,0.6017,0.60118,0.46975,0.82223,1.20948,0.90735,0.001571,0.001571,0.001571
28,130.773,0.87907,0.93691,0.97906,0.63852,0.63424,0.65047,0.50382,0.82516,1.10431,0.91574,0.0015545,0.0015545,0.0015545
29,135.549,0.86939,0.96448,0.96584,0.65791,0.59533,0.64229,0.51249,0.7976,1.00174,0.91637,0.001538,0.001538,0.001538
30,140.358,0.8571,0.93433,0.98949,0.71045,0.61089,0.6772,0.53238,0.84856,1.01904,0.94022,0.0015215,0.0015215,0.0015215
31,145.231,0.82372,0.88915,0.95696,0.61536,0.66148,0.66082,0.52158,0.84929,1.05947,0.92989,0.001505,0.001505,0.001505
32,150.246,0.80362,0.88574,0.95418,0.60403,0.6648,0.63699,0.49836,0.80926,1.14895,0.92607,0.0014885,0.0014885,0.0014885
33,155.211,0.79672,0.90802,0.95579,0.59995,0.61089,0.60166,0.46436,0.86458,1.13763,0.931,0.001472,0.001472,0.001472
34,160.148,0.81585,0.88153,0.95386,0.64873,0.5214,0.60448,0.47149,0.84248,1.08869,0.93109,0.0014555,0.0014555,0.0014555
35,165.124,0.82183,0.86932,0.95514,0.54988,0.66926,0.59637,0.46247,0.80677,1.17736,0.90946,0.001439,0.001439,0.001439
36,169.747,0.79009,0.86412,0.94152,0.66214,0.59481,0.65227,0.51787,0.80054,1.06058,0.92257,0.0014225,0.0014225,0.0014225
37,174.196,0.75008,0.82978,0.9284,0.60979,0.64202,0.61987,0.48027,0.82728,1.05723,0.93011,0.001406,0.001406,0.001406
38,178.709,0.75441,0.82663,0.92187,0.62755,0.6537,0.64703,0.50823,0.77375,1.14094,0.90921,0.0013895,0.0013895,0.0013895
39,183.179,0.76841,0.79429,0.94495,0.59689,0.69139,0.65464,0.51564,0.82137,1.18053,0.92129,0.001373,0.001373,0.001373
40,187.723,0.78327,0.80325,0.94741,0.63698,0.64202,0.65814,0.52613,0.79206,1.09282,0.90573,0.0013565,0.0013565,0.0013565
41,192.343,0.75638,0.80592,0.94496,0.63825,0.57198,0.62757,0.4868,0.82796,1.05823,0.92331,0.00134,0.00134,0.00134
42,196.918,0.79328,0.79504,0.94021,0.58755,0.72374,0.63733,0.49916,0.7931,1.00251,0.90882,0.0013235,0.0013235,0.0013235
43,201.506,0.74028,0.75928,0.93066,0.62054,0.64981,0.64841,0.50742,0.79368,1.02098,0.9133,0.001307,0.001307,0.001307
44,206.081,0.72798,0.76724,0.9227,0.60898,0.65759,0.63134,0.50153,0.76636,1.10952,0.91048,0.0012905,0.0012905,0.0012905
45,210.809,0.72626,0.74676,0.9298,0.58131,0.66926,0.59336,0.4671,0.79438,1.18534,0.91274,0.001274,0.001274,0.001274
46,215.932,0.72767,0.74175,0.91805,0.55746,0.61868,0.59831,0.47035,0.8074,1.20338,0.90477,0.0012575,0.0012575,0.0012575
47,220.95,0.73524,0.77277,0.92385,0.69178,0.56767,0.62762,0.49322,0.8245,1.47592,0.90828,0.001241,0.001241,0.001241
48,225.697,0.70926,0.76159,0.91743,0.59266,0.62273,0.63828,0.48671,0.88915,1.29728,0.95546,0.0012245,0.0012245,0.0012245
49,230.325,0.71121,0.73456,0.91563,0.60093,0.64202,0.62415,0.4865,0.83953,1.12895,0.93144,0.001208,0.001208,0.001208
50,234.929,0.70849,0.73435,0.8995,0.58918,0.67704,0.60175,0.47731,0.82483,1.23789,0.91203,0.0011915,0.0011915,0.0011915
51,239.509,0.70168,0.71223,0.91081,0.5646,0.64591,0.62302,0.48916,0.8053,1.16541,0.91353,0.001175,0.001175,0.001175
52,244.341,0.69062,0.70825,0.912,0.55929,0.73152,0.63401,0.50399,0.77673,1.38731,0.89556,0.0011585,0.0011585,0.0011585
53,248.891,0.6843,0.68128,0.9019,0.59162,0.67315,0.62657,0.48944,0.8123,1.27486,0.9106,0.001142,0.001142,0.001142
54,253.455,0.65161,0.65659,0.90307,0.532,0.70817,0.63264,0.49476,0.79373,1.33665,0.90585,0.0011255,0.0011255,0.0011255
55,258.153,0.7002,0.70226,0.91797,0.66422,0.59533,0.64796,0.51403,0.80581,1.19985,0.91238,0.001109,0.001109,0.001109
56,262.775,0.69346,0.67348,0.91615,0.57246,0.66166,0.62906,0.48938,0.80398,1.24505,0.91564,0.0010925,0.0010925,0.0010925
57,267.245,0.71438,0.72174,0.92353,0.54525,0.69261,0.6055,0.47871,0.77112,1.10333,0.89912,0.001076,0.001076,0.001076
58,271.836,0.69136,0.7108,0.91037,0.61743,0.61089,0.59869,0.47634,0.7842,1.12548,0.89054,0.0010595,0.0010595,0.0010595
59,276.43,0.66989,0.70365,0.90992,0.56134,0.65759,0.56431,0.44258,0.80875,1.26535,0.92506,0.001043,0.001043,0.001043
60,281.346,0.70406,0.69544,0.91774,0.5552,0.6411,0.60533,0.48334,0.77464,1.12413,0.90413,0.0010265,0.0010265,0.0010265
61,286.286,0.64711,0.67416,0.89967,0.65226,0.62257,0.65894,0.52331,0.7601,0.99626,0.88506,0.00101,0.00101,0.00101
62,290.827,0.6687,0.63147,0.9106,0.63948,0.66948,0.66364,0.52643,0.76511,1.02832,0.89286,0.0009935,0.0009935,0.0009935
63,295.504,0.69644,0.65786,0.9135,0.66202,0.62257,0.63472,0.50036,0.77585,1.16556,0.89344,0.000977,0.000977,0.000977
64,300.191,0.66198,0.66112,0.89749,0.65956,0.62257,0.66379,0.51702,0.77576,1.02186,0.89547,0.0009605,0.0009605,0.0009605
