epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.3008,0.59678,0.9288,1.06479,0.55031,0.16732,0.18047,0.12755,1.5407,2.88195,1.39318,0.00066481,0.00066481,0.00066481
2,102.958,0.65229,0.49878,1.07979,0.1574,0.19066,0.07158,0.03506,2.26566,3.74982,1.88703,0.00131829,0.00131829,0.00131829
3,150.134,0.64002,0.42013,1.07036,0.33406,0.14786,0.11397,0.07128,2.28809,3.75078,1.86307,0.00195858,0.00195858,0.00195858
4,196.297,0.62541,0.39395,1.06722,0.26282,0.18288,0.13391,0.07826,2.28071,3.5881,1.79252,0.0019406,0.0019406,0.0019406
5,242.502,0.6056,0.37038,1.05412,0.18613,0.09728,0.08316,0.03735,2.44547,4.50516,2.07607,0.0019208,0.0019208,0.0019208
6,291.893,0.56372,0.33813,1.0295,0.25245,0.10895,0.09295,0.06026,2.19201,4.21744,1.8122,0.001901,0.001901,0.001901
7,337.265,0.55384,0.32213,1.02152,0.26773,0.19455,0.14831,0.09276,2.08022,3.74784,1.79086,0.0018812,0.0018812,0.0018812
8,382.504,0.55025,0.32373,1.02352,0.41766,0.15564,0.17409,0.09059,2.34825,3.584,1.8565,0.0018614,0.0018614,0.0018614
9,428.045,0.53159,0.30693,1.01199,0.46309,0.22957,0.2218,0.14136,1.94782,2.81236,1.59377,0.0018416,0.0018416,0.0018416
10,474.092,0.52906,0.3034,1.01376,0.23444,0.17121,0.13348,0.07354,2.06245,4.27812,1.82183,0.0018218,0.0018218,0.0018218
11,520.282,0.51344,0.29314,1.00358,0.20888,0.20233,0.13394,0.08262,2.13173,4.32626,1.89057,0.001802,0.001802,0.001802
12,566.364,0.50774,0.29222,1.00239,0.33406,0.1284,0.11328,0.06879,2.21233,4.89982,1.95623,0.0017822,0.0017822,0.0017822
13,611.964,0.50006,0.28676,0.99516,0.22445,0.13619,0.10318,0.06228,2.29361,4.54881,1.85706,0.0017624,0.0017624,0.0017624
14,658.183,0.50817,0.28498,1.0024,0.16886,0.12451,0.07859,0.03902,2.49752,4.55304,1.99685,0.0017426,0.0017426,0.0017426
15,703.699,0.49299,0.27625,0.99244,0.23365,0.14008,0.08247,0.04001,2.4284,4.20825,1.92812,0.0017228,0.0017228,0.0017228
16,750.227,0.4947,0.27414,0.99114,0.24838,0.14008,0.13603,0.07413,2.29834,4.17372,2.00665,0.001703,0.001703,0.001703
17,796.374,0.49045,0.27132,0.99143,0.30292,0.08171,0.09851,0.06322,2.2218,4.80017,1.79151,0.0016832,0.0016832,0.0016832
18,841.595,0.47695,0.26636,0.98255,0.28968,0.1323,0.15122,0.0954,2.14212,4.65574,1.8369,0.0016634,0.0016634,0.0016634
19,887.396,0.47924,0.26515,0.98775,0.3602,0.12451,0.11406,0.06725,2.23865,4.98103,1.99524,0.0016436,0.0016436,0.0016436
20,932.641,0.47784,0.26482,0.9829,0.32587,0.14397,0.13383,0.08646,2.22843,4.43265,1.92809,0.0016238,0.0016238,0.0016238
21,978.594,0.47,0.25966,0.98155,0.26992,0.18677,0.16,0.10805,2.03765,4.18323,1.73597,0.001604,0.001604,0.001604
22,1023.98,0.47229,0.26172,0.98276,0.2257,0.14008,0.11069,0.06757,2.35299,4.75588,1.97309,0.0015842,0.0015842,0.0015842
23,1069.93,0.4674,0.254,0.97901,0.1895,0.25292,0.2092,0.13598,2.12092,4.52506,1.91824,0.0015644,0.0015644,0.0015644
24,1115.77,0.46221,0.25252,0.97757,0.21554,0.13619,0.10797,0.06948,2.16305,5.24538,1.90971,0.0015446,0.0015446,0.0015446
25,1162.11,0.4652,0.25401,0.97892,0.37883,0.19455,0.19127,0.11637,2.1731,4.39421,1.86643,0.0015248,0.0015248,0.0015248
26,1208.33,0.45585,0.2471,0.97608,0.24564,0.10895,0.11217,0.06999,2.24063,5.09159,1.89579,0.001505,0.001505,0.001505
27,1253.79,0.45174,0.24325,0.96873,0.28314,0.11673,0.13582,0.08348,2.37254,4.87206,2.06063,0.0014852,0.0014852,0.0014852
28,1300.86,0.45825,0.24813,0.97374,0.26178,0.1284,0.11976,0.08059,2.0327,4.83558,1.76552,0.0014654,0.0014654,0.0014654
29,1346.77,0.45145,0.24691,0.96982,0.52416,0.15859,0.23947,0.15519,1.91796,4.61724,1.69355,0.0014456,0.0014456,0.0014456
30,1392.75,0.43451,0.24043,0.96436,0.52172,0.15564,0.1975,0.11309,2.4763,4.54054,1.97811,0.0014258,0.0014258,0.0014258
31,1439.1,0.44581,0.24166,0.96719,0.30115,0.12408,0.15446,0.09258,2.20653,4.8596,1.9918,0.001406,0.001406,0.001406
32,1484.42,0.44894,0.24128,0.96876,0.40397,0.15564,0.16842,0.10001,2.31513,4.83635,1.94242,0.0013862,0.0013862,0.0013862
33,1530.63,0.44126,0.23765,0.96604,0.25228,0.1323,0.12136,0.06707,2.33081,4.98819,2.00454,0.0013664,0.0013664,0.0013664
34,1576.73,0.43715,0.23649,0.95925,0.33013,0.18677,0.19893,0.13168,1.78788,3.95194,1.53028,0.0013466,0.0013466,0.0013466
35,1622.84,0.4384,0.23372,0.96326,0.48987,0.15564,0.1935,0.12662,2.06117,4.23259,1.72952,0.0013268,0.0013268,0.0013268
36,1668.96,0.43494,0.23517,0.96371,0.30737,0.1323,0.14322,0.09174,2.09048,4.81344,1.74852,0.001307,0.001307,0.001307
37,1714.71,0.43817,0.23637,0.96274,0.44876,0.15205,0.18777,0.12225,1.99928,4.66445,1.75353,0.0012872,0.0012872,0.0012872
