epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.4588,0.6301,1.00539,1.07963,0.3934,0.26459,0.20935,0.1217,1.4979,2.83666,1.41026,0.000664799,0.000664799,0.000664799
2,102.671,0.67463,0.53449,1.09967,0.39025,0.26848,0.21801,0.126,1.99817,2.89604,1.69559,0.00131828,0.00131828,0.00131828
3,148.773,0.67812,0.45738,1.09039,0.0785,0.12062,0.02569,0.01084,2.32076,6.00338,2.13201,0.00195857,0.00195857,0.00195857
4,195.918,0.65055,0.41777,1.08065,0.06708,0.10506,0.03451,0.0186,2.38837,5.51617,2.14987,0.0019406,0.0019406,0.0019406
5,242.541,0.62996,0.39432,1.06891,0.29972,0.13324,0.11938,0.07278,2.05912,3.93867,1.83522,0.0019208,0.0019208,0.0019208
6,288.839,0.60235,0.36799,1.05347,0.29981,0.14329,0.11599,0.07594,1.92247,4.46305,1.7237,0.001901,0.001901,0.001901
7,334.908,0.58104,0.35506,1.03771,0.32593,0.19066,0.15937,0.08722,2.49077,3.97392,2.14862,0.0018812,0.0018812,0.0018812
8,381.297,0.56949,0.34044,1.03523,0.19616,0.1284,0.08264,0.04372,2.37391,4.90802,2.02631,0.0018614,0.0018614,0.0018614
9,427.28,0.5584,0.33079,1.02698,0.12261,0.15175,0.05445,0.02816,2.28856,5.42793,2.07648,0.0018416,0.0018416,0.0018416
10,473.059,0.54821,0.32322,1.02234,0.21985,0.13619,0.09371,0.05517,2.28269,4.79924,2.00716,0.0018218,0.0018218,0.0018218
11,519.578,0.53656,0.31314,1.01655,0.3255,0.13619,0.13036,0.07365,2.39743,4.35106,2.06516,0.001802,0.001802,0.001802
12,565.647,0.53626,0.31164,1.01682,0.244,0.1284,0.08868,0.05364,2.24253,4.87882,2.03156,0.0017822,0.0017822,0.0017822
13,612.889,0.53713,0.3132,1.01824,0.35372,0.16732,0.15663,0.09566,2.16228,4.58797,1.88933,0.0017624,0.0017624,0.0017624
14,663.186,0.52211,0.29727,1.00785,0.41823,0.17899,0.16226,0.09808,2.15138,4.16867,1.96345,0.0017426,0.0017426,0.0017426
15,710.248,0.51407,0.28821,1.00117,0.17727,0.13619,0.10264,0.06145,2.2673,5.20072,2.09702,0.0017228,0.0017228,0.0017228
16,756.219,0.51494,0.29188,1.0062,0.4614,0.16342,0.18817,0.11496,2.11218,4.15569,1.79793,0.001703,0.001703,0.001703
17,801.477,0.50216,0.28963,0.99922,0.23815,0.13619,0.13807,0.089,2.18318,4.56966,1.90743,0.0016832,0.0016832,0.0016832
18,846.646,0.49654,0.28478,0.9957,0.24702,0.15953,0.14437,0.08497,2.15119,4.96508,1.97681,0.0016634,0.0016634,0.0016634
19,892.55,0.50948,0.2907,1.00004,0.29996,0.14786,0.12894,0.08369,2.11844,4.58091,1.85177,0.0016436,0.0016436,0.0016436
20,937.871,0.5011,0.27926,0.99759,0.28844,0.18288,0.13446,0.08911,1.95334,4.18381,1.76384,0.0016238,0.0016238,0.0016238
21,982.684,0.48951,0.2764,0.99407,0.49356,0.14786,0.23152,0.15875,1.94504,4.71214,1.823,0.001604,0.001604,0.001604
22,1027.36,0.4874,0.27369,0.99122,0.36372,0.14786,0.13364,0.08211,2.14932,4.59055,1.89619,0.0015842,0.0015842,0.0015842
23,1072.08,0.48228,0.27246,0.98923,0.44349,0.11284,0.15272,0.10702,2.03179,5.22247,1.84059,0.0015644,0.0015644,0.0015644
24,1117.02,0.48622,0.27407,0.99103,0.37058,0.16342,0.14848,0.09455,2.03853,4.54877,1.82196,0.0015446,0.0015446,0.0015446
25,1162.09,0.47285,0.26253,0.98066,0.34481,0.21012,0.16792,0.09307,2.0875,4.50899,1.91412,0.0015248,0.0015248,0.0015248
26,1207.3,0.47015,0.26354,0.98621,0.34211,0.08171,0.0828,0.04791,2.40366,5.63845,2.18885,0.001505,0.001505,0.001505
27,1253.09,0.46842,0.26075,0.98238,0.43231,0.12062,0.15222,0.09778,2.04819,4.3776,1.79851,0.0014852,0.0014852,0.0014852
28,1299.31,0.46427,0.25894,0.97777,0.40531,0.14008,0.1534,0.10071,1.97793,4.22474,1.81445,0.0014654,0.0014654,0.0014654
29,1343.89,0.46758,0.25906,0.98176,0.42405,0.14786,0.16854,0.11371,2.03176,4.69651,1.96095,0.0014456,0.0014456,0.0014456
30,1389.03,0.46169,0.2552,0.98026,0.18571,0.1284,0.10474,0.06479,1.9719,5.38085,1.82252,0.0014258,0.0014258,0.0014258
31,1434.2,0.46695,0.25822,0.98369,0.24501,0.14522,0.11813,0.07007,2.15098,5.09658,1.95537,0.001406,0.001406,0.001406
32,1479.62,0.45963,0.25565,0.97535,0.3386,0.16732,0.1645,0.10834,1.97031,4.0721,1.74716,0.0013862,0.0013862,0.0013862
33,1524.64,0.46094,0.25363,0.98027,0.49565,0.17899,0.19159,0.12932,2.05667,3.83218,1.8171,0.0013664,0.0013664,0.0013664
34,1569.85,0.44902,0.24818,0.96925,0.28039,0.14786,0.13746,0.09981,2.00121,4.52977,1.72489,0.0013466,0.0013466,0.0013466
35,1615.19,0.45196,0.24856,0.97316,0.3732,0.17899,0.19988,0.13767,1.82953,3.86219,1.62908,0.0013268,0.0013268,0.0013268
36,1660.67,0.45048,0.24882,0.9669,0.2759,0.16342,0.15923,0.10684,1.92189,4.1678,1.68254,0.001307,0.001307,0.001307
37,1705.67,0.4485,0.24394,0.97161,0.18717,0.12062,0.11444,0.07914,2.04242,5.05331,1.99548,0.0012872,0.0012872,0.0012872
38,1750.82,0.4461,0.24298,0.97047,0.19256,0.15589,0.12157,0.07394,2.06588,4.92243,1.967,0.0012674,0.0012674,0.0012674
39,1796.1,0.44443,0.2448,0.97065,0.4045,0.16342,0.17884,0.11606,1.90806,3.97058,1.74703,0.0012476,0.0012476,0.0012476
40,1842.23,0.44054,0.24017,0.96593,0.37917,0.16342,0.1913,0.12229,1.95554,4.134,1.79719,0.0012278,0.0012278,0.0012278
41,1887.15,0.44092,0.24073,0.96824,0.45247,0.19294,0.2255,0.1501,1.88627,3.53809,1.70274,0.001208,0.001208,0.001208
42,1931.68,0.43981,0.24366,0.96899,0.26317,0.15175,0.14515,0.1002,1.86352,3.86332,1.71177,0.0011882,0.0011882,0.0011882
